buyer_id,signup_date,channel,buyer_type
B0000,2026-04-13,paid_ads,hotel
B0001,2026-04-03,organic,hotel
B0002,2026-01-15,referral,restaurant
B0003,2026-04-17,organic,supermarket
B0004,2026-03-13,organic,hotel
B0005,2026-01-21,referral,cafe
B0006,2026-04-13,referral,supermarket
B0007,2026-05-02,paid_ads,hotel
B0008,2026-03-16,sales_led,cafe
B0009,2026-03-29,paid_ads,restaurant
B0010,2026-04-27,organic,restaurant
B0011,2026-04-10,organic,restaurant
B0012,2026-04-14,sales_led,supermarket
B0013,2026-02-22,sales_led,restaurant
B0014,2026-01-02,sales_led,cafe
B0015,2026-03-29,sales_led,supermarket
B0016,2026-02-07,organic,restaurant
B0017,2026-05-10,paid_ads,restaurant
B0018,2026-01-21,organic,restaurant
B0019,2026-02-27,paid_ads,hotel
B0020,2026-01-22,paid_ads,restaurant
B0021,2026-03-30,referral,restaurant
B0022,2026-02-18,paid_ads,cafe
B0023,2026-02-28,organic,restaurant
B0024,2026-01-15,organic,supermarket
B0025,2026-02-20,sales_led,restaurant
B0026,2026-04-18,sales_led,supermarket
B0027,2026-02-24,organic,supermarket
B0028,2026-03-05,organic,restaurant
B0029,2026-02-20,sales_led,restaurant
B0030,2026-01-21,organic,hotel
B0031,2026-03-14,sales_led,restaurant
B0032,2026-01-18,sales_led,restaurant
B0033,2026-03-30,organic,restaurant
B0034,2026-03-01,organic,supermarket
B0035,2026-01-14,referral,restaurant
B0036,2026-01-09,paid_ads,supermarket
B0037,2026-03-31,paid_ads,hotel
B0038,2026-02-22,sales_led,supermarket
B0039,2026-05-10,referral,restaurant
B0040,2026-03-25,referral,supermarket
B0041,2026-04-02,sales_led,hotel
B0042,2026-04-21,paid_ads,restaurant
B0043,2026-01-08,organic,restaurant
B0044,2026-02-04,sales_led,supermarket
B0045,2026-03-22,paid_ads,cafe
B0046,2026-02-19,paid_ads,supermarket
B0047,2026-04-14,referral,cafe
B0048,2026-01-02,organic,supermarket
B0049,2026-02-23,paid_ads,supermarket
B0050,2026-04-16,organic,supermarket
B0051,2026-01-04,paid_ads,restaurant
B0052,2026-02-23,organic,restaurant
B0053,2026-02-13,organic,supermarket
B0054,2026-01-14,organic,cafe
B0055,2026-04-05,sales_led,restaurant
B0056,2026-02-17,sales_led,restaurant
B0057,2026-01-15,paid_ads,restaurant
B0058,2026-02-09,referral,restaurant
B0059,2026-03-23,paid_ads,restaurant
B0060,2026-04-21,organic,supermarket
B0061,2026-02-22,referral,supermarket
B0062,2026-01-24,organic,cafe
B0063,2026-05-04,referral,hotel
B0064,2026-02-10,organic,restaurant
B0065,2026-01-15,referral,supermarket
B0066,2026-02-14,organic,restaurant
B0067,2026-03-06,referral,restaurant
B0068,2026-03-30,paid_ads,supermarket
B0069,2026-03-12,referral,supermarket
B0070,2026-01-09,organic,cafe
B0071,2026-03-29,paid_ads,restaurant
B0072,2026-05-09,referral,supermarket
B0073,2026-03-04,paid_ads,supermarket
B0074,2026-03-22,sales_led,supermarket
B0075,2026-02-02,sales_led,restaurant
B0076,2026-05-03,paid_ads,supermarket
B0077,2026-01-05,sales_led,supermarket
B0078,2026-02-10,paid_ads,cafe
B0079,2026-01-28,referral,supermarket
B0080,2026-03-13,organic,restaurant
B0081,2026-01-12,organic,supermarket
B0082,2026-02-02,referral,supermarket
B0083,2026-02-17,referral,supermarket
B0084,2026-03-03,paid_ads,cafe
B0085,2026-02-06,sales_led,cafe
B0086,2026-04-09,organic,cafe
B0087,2026-04-14,organic,restaurant
B0088,2026-02-04,paid_ads,restaurant
B0089,2026-04-11,paid_ads,supermarket
B0090,2026-01-01,paid_ads,supermarket
B0091,2026-01-05,organic,cafe
B0092,2026-04-13,referral,supermarket
B0093,2026-01-27,referral,supermarket
B0094,2026-01-15,sales_led,supermarket
B0095,2026-03-31,paid_ads,supermarket
B0096,2026-02-11,organic,supermarket
B0097,2026-05-04,sales_led,restaurant
B0098,2026-03-04,sales_led,restaurant
B0099,2026-04-06,organic,cafe
B0100,2026-02-21,referral,cafe
B0101,2026-04-06,sales_led,restaurant
B0102,2026-01-29,referral,supermarket
B0103,2026-02-05,sales_led,restaurant
B0104,2026-01-13,sales_led,restaurant
B0105,2026-03-12,paid_ads,supermarket
B0106,2026-03-27,referral,restaurant
B0107,2026-01-28,referral,restaurant
B0108,2026-03-07,organic,restaurant
B0109,2026-02-14,organic,restaurant
B0110,2026-03-03,paid_ads,supermarket
B0111,2026-01-28,sales_led,hotel
B0112,2026-01-28,referral,cafe
B0113,2026-04-18,organic,supermarket
B0114,2026-02-13,paid_ads,cafe
B0115,2026-03-25,paid_ads,restaurant
B0116,2026-01-30,referral,cafe
B0117,2026-03-16,sales_led,cafe
B0118,2026-05-08,sales_led,restaurant
B0119,2026-04-02,paid_ads,supermarket
B0120,2026-05-09,paid_ads,supermarket
B0121,2026-05-01,organic,restaurant
B0122,2026-01-27,organic,restaurant
B0123,2026-05-01,referral,supermarket
B0124,2026-04-26,sales_led,supermarket
B0125,2026-01-03,referral,cafe
B0126,2026-04-13,referral,hotel
B0127,2026-03-03,paid_ads,restaurant
B0128,2026-02-20,sales_led,supermarket
