order_id,buyer_id,supplier_id,order_date,order_seq,n_skus,gmv,status,cogs_ratio,cogs,gross_profit
0,B0000,S013,2026-05-20,1,1,48.76,completed,0.6046519053996419,29.482826907286537,19.27717309271346
1,B0000,S025,2026-06-26,2,4,180.85,completed,0.5959909211782173,107.7849580950806,73.0650419049194
2,B0001,S005,2026-04-15,1,4,147.08,completed,0.6402774048659351,94.17200070768175,52.907999292318266
3,B0001,S027,2026-05-01,2,2,59.59,completed,0.5562268165769023,33.14555599981761,26.444444000182393
4,B0001,S012,2026-05-24,3,3,166.37,completed,0.680902242856227,113.28170614399049,53.088293856009514
5,B0001,S014,2026-06-02,4,2,90.88,completed,0.7401727124500821,67.26689610746345,23.613103892536543
6,B0002,S007,2026-02-14,1,9,141.32,completed,0.7089619097499859,100.19049708586799,41.129502914132004
7,B0003,S012,2026-04-26,1,6,393.1,completed,0.680902242856227,267.66267166678284,125.43732833321718
8,B0003,S009,2026-05-12,2,3,148.14,cancelled,0.5941539225577521,88.01796208770538,60.1220379122946
9,B0004,S000,2026-04-04,1,3,84.33,completed,0.6866590753213011,57.90595982184532,26.424040178154677
10,B0004,S004,2026-05-14,2,2,67.69,completed,0.6352362604471946,42.9991424696706,24.690857530329396
11,B0004,S019,2026-06-09,3,4,171.98,completed,0.6777051895328171,116.55173849585388,55.42826150414611
12,B0005,S024,2026-02-04,1,7,249.44,cancelled,0.7288198407358268,181.79682107314466,67.64317892685534
13,B0005,S008,2026-02-11,2,3,115.25,completed,0.6887364451562977,79.37687530426331,35.87312469573669
14,B0005,S016,2026-03-07,3,5,161.68,completed,0.6364669602085204,102.90397812651359,58.776021873486414
15,B0005,S023,2026-04-06,4,4,120.15,completed,0.6318668012630086,75.91879617175049,44.23120382824952
16,B0005,S022,2026-04-11,5,4,111.69,completed,0.7467955295919657,83.40959270012665,28.280407299873346
17,B0005,S000,2026-04-16,6,8,472.39,completed,0.6866590753213011,324.37088059102945,148.01911940897054
18,B0006,S017,2026-05-21,1,5,152.76,completed,0.7387231840335198,112.84735359296047,39.91264640703952
19,B0006,S014,2026-06-11,2,4,92.29,completed,0.7401727124500821,68.31053963201808,23.97946036798193
20,B0007,S020,2026-05-20,1,2,73.47,completed,0.6295188795925589,46.250752083665304,27.219247916334695
21,B0007,S010,2026-06-05,2,4,85.86,completed,0.5664762091231685,48.63764731531525,37.22235268468475
22,B0008,S028,2026-03-26,1,6,278.08,cancelled,0.680333365075177,189.1871021601052,88.89289783989477
23,B0008,S025,2026-03-29,2,2,46.56,completed,0.5959909211782173,27.7493372900578,18.810662709942203
24,B0009,S003,2026-04-21,1,2,54.95,completed,0.7494249000315423,41.18089825673325,13.769101743266752
25,B0009,S020,2026-05-04,2,1,44.83,completed,0.6295188795925589,28.221331372134415,16.608668627865583
26,B0009,S009,2026-06-19,3,2,40.83,completed,0.5941539225577521,24.259304658033017,16.57069534196698
27,B0010,S023,2026-04-27,1,1,48.34,completed,0.6318668012630086,30.54444117305384,17.795558826946163
28,B0011,S021,2026-04-11,1,3,93.46,cancelled,0.604843040469734,56.52863056230134,36.931369437698656
29,B0011,S022,2026-05-22,2,2,108.64,completed,0.7467955295919657,81.13186633487116,27.508133665128838
30,B0011,S024,2026-05-28,3,4,125.14,completed,0.7288198407358268,91.20451486968138,33.935485130318625
31,B0011,S029,2026-06-17,4,2,129.51,completed,0.6237052687447523,80.77606935513286,48.73393064486713
32,B0012,S005,2026-04-17,1,1,19.19,completed,0.6402774048659351,12.286923399377295,6.903076600622706
33,B0012,S008,2026-05-31,2,3,97.55,completed,0.6887364451562977,67.18624022499684,30.36375977500316
34,B0013,S008,2026-02-26,1,4,93.3,completed,0.6887364451562977,64.25911033308257,29.040889666917423
35,B0013,S027,2026-03-28,2,3,124.04,completed,0.5562268165769023,68.99437432819897,55.045625671801034
36,B0013,S027,2026-04-08,3,3,73.36,completed,0.5562268165769023,40.80479926408155,32.55520073591845
37,B0014,S027,2026-01-03,1,3,125.07,completed,0.5562268165769023,69.56728794927317,55.50271205072683
38,B0015,S004,2026-04-11,1,4,218.72,completed,0.6352362604471946,138.9388748850104,79.7811251149896
39,B0016,S012,2026-02-13,1,1,27.75,completed,0.680902242856227,18.8950372392603,8.8549627607397
40,B0016,S022,2026-02-13,2,2,53.49,completed,0.7467955295919657,39.94609287787425,13.543907122125752
